Concentration,Chem Clas,220,223,226,229,232,235,238,241,244,247,250,253,256,259,262,265,268,271,274,277,280,283,286,289,292,295,298,301,304,307,310,313,316,319,322,325,328,331,334,337,340,343,346,349,352,355,358,361,364,367,370,373,376,379,382,385,388,391,394,397,400,403,406,409,412,415,418,421,424,427,430,433,436,439,442,445,448,451,454,457,460,463,466,469,472,475,478,481,484,487,490,493,496,499,502,505,508,511,514,517,520,523,526,529,532,535,538,541,544,547,550,553,556,559,562,565,568,571,574,577,580,583,586,589,592,595,598,601,604,607,610,613,616,619,622,625,628,631,634,637,640,643,646,649,652,655,658,661,664,667,670,673,676,679,682,685,688,691,694,697,700,703,706,709,712,715,718,721,724,727,730,733,736,739,742,745,748
25,RNA,0.176,0.134,0.082,0.047,0.033,0.02,0.015,0.013,0.011,0.008,0.008,0.006,0.004,0.004,0.003,0.003,0.003,0.002,0.002,0.002,0.003,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0,0,0,0,0,0.001,0,-0.001,0,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.002,0,0.001,0.001,0,0.001,0.002,0.001,0.002,0.001,0.001,0,0.002,0.004,0.002,0,0,0.002,0.001,0.002,0.001,0,0.001,0.003,0.002,0.001,0.002,0.003,0.001,0.001,0,0,0.001,0.002,0.003,0.001,0,0,0.001,-0.001,0.001,0.001,0,0.001,0,0.001,0,0.001,0.003,0.003,0.002,0,0.001,0.001,0.001,-0.001,0.003,0.002,-0.001,-0.001,0.002,0.004,0.003,0.003,0,0.002,0.002,0.003,0,0.001,0.003,0.003,0.001,0.004,0.001,0.002,0.001,-0.001,0,0.003,0.001,0.002,0.002,0.003,0,0.002,0.003,0,0.001,-0.001,0.001,-0.001,0.002,0.001,0.001,0.004,0.003,0.001,0.003,0.002,0.004,0.001,0.002,0.001,0,0,0.002,0.001,0.002,0,0.003,0.004,0.002,0.003,0.004,0.005
25,RNA,0.189,0.136,0.077,0.034,0.019,0.006,0.001,-0.001,-0.005,-0.006,-0.008,-0.007,-0.008,-0.009,-0.01,-0.009,-0.009,-0.009,-0.009,-0.009,-0.008,-0.008,-0.009,-0.009,-0.008,-0.007,-0.006,-0.006,-0.007,-0.007,-0.006,-0.006,-0.005,-0.006,-0.005,-0.005,-0.004,-0.005,-0.005,-0.004,-0.003,-0.003,-0.004,-0.003,-0.004,-0.003,-0.003,-0.002,-0.002,-0.003,-0.002,-0.003,-0.002,-0.001,-0.001,-0.001,-0.001,-0.002,0,-0.002,0,0,0.001,0,0.001,-0.001,0,0.001,0.001,0.001,-0.001,0.001,0,0.001,0.005,0.003,0.003,0.003,0.002,0,0.004,0.005,0.001,0.001,0.004,0.003,0.004,0.003,0.006,0.005,0.006,0.003,0.001,0.002,0.002,0.003,0.002,0.002,0.004,0.002,0.003,0.005,0.004,0.004,0.004,0.003,0.006,0.005,0.005,0.006,0.007,0.006,0.003,0.002,0.003,0.003,0.003,0.006,0.006,0.003,0.002,0.006,0.004,0.003,0.004,0.004,0.006,0.003,0.006,0.004,0.006,0.007,0.006,0.003,0.008,0.005,0.006,0.008,0.007,0.001,0.004,0.01,0.009,0.01,0.009,0.006,0.009,0.009,0.01,0.009,0.006,0.008,0.003,0.007,0.008,0.004,0.006,0.01,0.01,0.012,0.01,0.01,0.006,0.011,0.005,0.005,0.002,0.008,0.007,0.013,0.012,0.007,0.009,0.007,0.01,0.005,0.009
25,RNA,0.202,0.145,0.092,0.052,0.036,0.023,0.02,0.016,0.013,0.011,0.009,0.009,0.007,0.007,0.006,0.005,0.005,0.005,0.006,0.006,0.007,0.005,0.004,0.004,0.003,0.003,0.002,0.003,0.002,0.002,0.003,0.003,0.003,0.001,0.003,0.002,0.002,0.003,0.001,0.002,0.003,0.004,0.002,0.001,0.001,0.001,0,0.002,0.002,0,0.002,0.002,0.002,0.002,0.002,0.003,0.004,0.002,0.002,0.003,0.003,0.003,0.002,0.003,0.002,0.002,0.002,0.003,0.004,0.004,0.004,0.004,0.002,0.003,0.005,0.003,0.002,0.003,0.005,0.002,0.004,0.005,0.004,0.003,0.005,0.003,0.003,0.004,0.005,0.004,0.005,0.001,-0.001,0.003,0.002,0.004,0.004,0.002,0.004,0.003,0.002,0.003,0.004,0.005,0.006,0.005,0.004,0.004,0.006,0.008,0.007,0.005,0.003,0.005,0.003,0.002,0.002,0.004,0.003,0.001,0.001,0.004,0.005,0.005,0.002,0.005,0.005,0.002,0.002,0.003,0.006,0.006,0.003,0.002,0.006,0.005,0.005,0.003,0,0.001,0.002,0.004,0.005,0.005,0.005,0.002,0.004,0.009,0.005,0.002,0.003,0.003,-0.002,0.002,0.003,-0.001,0.003,0.009,0.007,0.009,0.008,0.009,0.003,0.006,0.001,0,0.004,0.007,0.004,0.006,0.003,0.001,0.004,0.007,0.005,0.007,0.006
12.5,RNA,0.201,0.142,0.086,0.048,0.033,0.023,0.018,0.016,0.014,0.011,0.009,0.008,0.007,0.005,0.005,0.005,0.004,0.004,0.005,0.006,0.005,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.003,0.004,0.002,0.004,0.003,0.003,0.004,0.002,0.003,0.004,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.005,0.004,0.005,0.005,0.003,0.004,0.004,0.003,0.003,0.005,0.005,0.005,0.004,0.004,0.003,0.004,0.007,0.005,0.004,0.004,0.005,0.002,0.004,0.006,0.005,0.003,0.007,0.006,0.006,0.006,0.005,0.007,0.007,0.004,0.001,0.002,0.003,0.005,0.004,0.002,0.005,0.005,0.006,0.004,0.004,0.004,0.006,0.004,0.004,0.003,0.006,0.009,0.008,0.006,0.003,0.005,0.004,0.004,0.002,0.005,0.004,0.001,0.001,0.005,0.007,0.005,0.004,0.006,0.005,0.001,0.003,0.004,0.006,0.007,0.004,0.004,0.008,0.007,0.005,0.005,0.004,0.003,0.003,0.008,0.008,0.008,0.009,0.005,0.009,0.008,0.004,0.002,0.005,0.005,-0.003,0.003,0.004,0.002,0.007,0.008,0.007,0.009,0.008,0.008,0.001,0.006,0.004,0.002,0.004,0.008,0.006,0.008,0.005,0.003,0.005,0.008,0.005,0.008,0.008
12.5,RNA,0.204,0.149,0.094,0.05,0.035,0.025,0.02,0.017,0.015,0.011,0.01,0.009,0.008,0.007,0.006,0.005,0.006,0.004,0.005,0.006,0.005,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.003,0.002,0.004,0.003,0.003,0.004,0.002,0.003,0.004,0.004,0.003,0.003,0.003,0.003,0.001,0.003,0.003,0.002,0.004,0.005,0.002,0.004,0.004,0.004,0.004,0.002,0.004,0.002,0.004,0.004,0.003,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.004,0.004,0.002,0.002,0.006,0.004,0.003,0.003,0.004,0.002,0.005,0.003,0.003,0.003,0.006,0.005,0.005,0.005,0.005,0.007,0.007,0.002,0.001,0.003,0.004,0.004,0.003,0,0.004,0.004,0.002,0.006,0.005,0.005,0.005,0.002,0.003,0.002,0.006,0.006,0.009,0.005,0.003,0.005,0.002,0.003,0.003,0.007,0.006,0,0,0.004,0.004,0.004,0.006,0.006,0.005,0.003,0.004,0.005,0.005,0.005,0.005,0.002,0.008,0.007,0.006,0.005,0.004,0.001,0.003,0.007,0.007,0.006,0.004,0.004,0.008,0.005,0.003,0.004,0.003,0.004,-0.002,0.001,0.003,0.004,0.008,0.007,0.007,0.008,0.006,0.004,0.001,0.006,0.002,0.002,0.005,0.008,0.006,0.006,0.005,0.004,0.007,0.011,0.008,0.008,0.008
12.5,RNA,0.233,0.173,0.103,0.06,0.043,0.032,0.025,0.023,0.019,0.016,0.014,0.013,0.012,0.011,0.011,0.011,0.011,0.01,0.01,0.011,0.012,0.011,0.01,0.01,0.008,0.01,0.009,0.008,0.008,0.007,0.006,0.007,0.008,0.005,0.007,0.006,0.005,0.006,0.004,0.004,0.005,0.006,0.004,0.005,0.004,0.005,0.005,0.006,0.005,0.003,0.003,0.005,0.004,0.005,0.004,0.004,0.004,0.005,0.005,0.004,0.004,0.006,0.004,0.004,0.004,0.003,0.003,0.005,0.006,0.005,0.004,0.005,0.003,0.003,0.006,0.004,0.003,0.004,0.005,0.001,0.006,0.004,0.003,0.003,0.006,0.006,0.006,0.004,0.004,0.006,0.006,0.003,-0.001,0.001,0.004,0.002,0,-0.001,0.003,0.005,0.002,0.003,0.001,0.005,0.006,0.002,0.003,0.002,0.007,0.006,0.007,0.005,0.003,0.005,0.001,0.002,-0.001,0.004,0.001,-0.002,-0.002,0.004,0.005,0.007,0.004,0.005,0.005,0.003,0.005,0.007,0.006,0.005,0.002,-0.001,0.007,0.01,0.007,0.005,0.003,0.001,0.002,0.002,0.003,0.003,0.004,0.001,0.005,0.004,0,0.002,0.003,0.005,-0.001,0.001,0.003,0.004,0.008,0.007,0.006,0.01,0.006,0.003,-0.004,0.006,0.004,0,0.003,0.01,0.004,0.005,0.002,0,0.008,0.01,0.006,0.006,0.007
6.25,RNA,0.209,0.148,0.087,0.047,0.034,0.023,0.018,0.016,0.013,0.01,0.009,0.009,0.007,0.006,0.005,0.005,0.005,0.004,0.005,0.005,0.005,0.003,0.004,0.004,0.003,0.004,0.003,0.003,0.004,0.003,0.004,0.004,0.004,0.002,0.005,0.004,0.004,0.003,0.003,0.004,0.005,0.004,0.003,0.003,0.003,0.001,0.002,0.003,0.002,0.002,0.003,0.004,0.002,0.004,0.004,0.004,0.004,0.003,0.004,0.004,0.004,0.005,0.003,0.004,0.004,0.004,0.004,0.006,0.004,0.004,0.004,0.006,0.003,0.002,0.006,0.004,0.004,0.004,0.004,0.001,0.004,0.005,0.003,0.003,0.007,0.006,0.006,0.004,0.004,0.008,0.008,0.004,0,0.004,0.004,0.003,0.003,0.002,0.006,0.005,0.004,0.005,0.005,0.007,0.007,0.003,0.004,0.004,0.006,0.008,0.009,0.008,0.004,0.006,0.002,0.003,0.001,0.004,0.003,0,-0.001,0.005,0.007,0.006,0.003,0.004,0.005,0.003,0.001,0.005,0.008,0.006,0.004,-0.001,0.006,0.01,0.007,0.006,0.003,0.002,0.002,0.006,0.007,0.007,0.004,0.005,0.008,0.008,0.004,0.003,0.002,0.005,-0.002,0,0.003,0.004,0.009,0.007,0.008,0.014,0.008,0.005,0.001,0.008,0.005,0.002,0.006,0.009,0.006,0.007,0.005,0.006,0.013,0.011,0.007,0.005,0.004
6.25,RNA,0.224,0.147,0.087,0.046,0.033,0.024,0.019,0.017,0.013,0.01,0.009,0.008,0.007,0.006,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.004,0.003,0.004,0.003,0.003,0.002,0.002,0.003,0.002,0.003,0.002,0.002,0.001,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.001,-0.001,0.002,0.002,0.001,0.001,0,0.002,0.001,0.002,0.002,0,0.002,0.002,0.001,0.001,0,-0.001,0.002,0.002,0.001,0.003,0.003,0.003,0.001,-0.001,0.003,0,0,0.001,0.002,-0.001,0.002,0.002,0.002,0.002,0.003,0.002,0.002,0,0.001,0.002,0.003,0.002,-0.001,0.001,0.001,0.001,0.002,0,0,0.002,-0.002,0.001,-0.001,0.001,0.002,0.001,0.001,0.001,0,0.003,0.005,0.003,0.002,0.002,0.001,0.001,-0.002,0,-0.001,0.001,-0.001,0.001,0.003,0.002,0,0.002,0.002,0,0.002,0.001,0.002,0.004,0.002,-0.001,0.003,0.001,0,-0.001,0.001,0.002,-0.003,0.003,0.001,0.004,0.002,0.001,0.005,0.004,0.003,0.001,0,0.003,-0.001,0,0,0.002,0.004,0.002,0.003,0.008,0.003,0.005,-0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.006,0.004,0.001,0.007,0.003,0.002,0.004,0.008
6.25,RNA,0.23,0.158,0.094,0.053,0.039,0.027,0.022,0.019,0.016,0.012,0.011,0.01,0.008,0.007,0.006,0.006,0.006,0.005,0.006,0.007,0.007,0.006,0.005,0.005,0.005,0.004,0.003,0.004,0.004,0.003,0.005,0.003,0.003,0.003,0.003,0.003,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.003,0.004,0.003,0.002,0.004,0.004,0.002,0.003,0.003,0.004,0.004,0.003,0.004,0.003,0.004,0.005,0.004,0.003,0.003,0.002,0.002,0.005,0.004,0.004,0.005,0.006,0.003,0.003,0.007,0.004,0.004,0.002,0.003,0.001,0.005,0.004,0.002,0.002,0.006,0.006,0.005,0.005,0.004,0.004,0.004,0.002,0,0.002,0.003,0.003,0.002,0.001,0.003,0.004,0.003,0.004,0.002,0.003,0.004,0,0.001,0.003,0.006,0.007,0.008,0.004,0.004,0.004,0.003,0.003,-0.001,0.003,0.002,0,0,0.005,0.006,0.005,0.002,0.004,0.006,0.003,0.002,0.002,0.006,0.005,0.002,-0.001,0.007,0.007,0.006,0.004,0.004,0.004,0.003,0.006,0.006,0.005,0.004,0.005,0.01,0.008,0.004,0.002,0.003,0.004,-0.001,0.003,0.003,0.001,0.008,0.006,0.006,0.01,0.007,0.004,-0.003,0.002,0.002,0.001,0.005,0.008,0.007,0.007,0.003,0.004,0.011,0.009,0.006,0.005,0.01
3.125,RNA,0.205,0.164,0.102,0.056,0.041,0.03,0.026,0.023,0.02,0.016,0.014,0.014,0.013,0.011,0.01,0.009,0.01,0.008,0.009,0.009,0.009,0.009,0.008,0.007,0.007,0.007,0.006,0.007,0.007,0.006,0.007,0.006,0.007,0.006,0.005,0.004,0.006,0.005,0.005,0.005,0.006,0.005,0.006,0.005,0.004,0.004,0.004,0.005,0.006,0.004,0.005,0.005,0.006,0.004,0.004,0.006,0.006,0.004,0.005,0.005,0.004,0.006,0.005,0.005,0.005,0.004,0.004,0.006,0.005,0.004,0.003,0.006,0.004,0.004,0.008,0.006,0.004,0.003,0.005,0.001,0.006,0.005,0.002,0.002,0.005,0.009,0.009,0.006,0.004,0.007,0.007,0.005,0.002,0.003,0.004,0.005,0.001,0.001,0.005,0.005,0.005,0.005,0.003,0.004,0.005,0.002,0.007,0.007,0.009,0.008,0.008,0.008,0.003,0.003,0.003,0.004,0.001,0.003,0.002,0.001,0,0.004,0.005,0.006,0.001,0.004,0.004,0.002,0.004,0.004,0.007,0.005,0.001,-0.002,0.005,0.01,0.006,0.008,0.006,0.005,0.002,0.008,0.007,0.007,0.005,0.005,0.012,0.01,0.003,0.001,0.003,0.007,-0.003,0.002,0.007,0.006,0.011,0.006,0.007,0.011,0.007,0.003,-0.003,0.004,0.006,0.005,0.006,0.008,0.002,0.006,0.005,0.006,0.012,0.014,0.005,0.004,0.005
3.125,RNA,0.217,0.16,0.097,0.051,0.035,0.025,0.02,0.017,0.014,0.011,0.009,0.009,0.008,0.006,0.005,0.005,0.005,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.001,0.001,0.001,0.002,0.003,0.002,0.002,0.003,0.002,0.002,0.003,0.003,0.003,0.003,0.002,0.003,0.003,0.003,0.002,0.003,0.002,0,0,0.001,0.002,0.001,0.003,0.004,0.002,0.002,0.002,0.004,0.003,0.003,0.003,0.003,0.004,0.004,0.002,0.004,0.003,0.003,0.003,0.005,0.005,0.005,0.003,0.004,0.002,0.001,0.006,0.003,0.003,0.001,0.002,0.001,0.005,0.004,0.003,0.003,0.006,0.006,0.005,0.003,0.004,0.007,0.006,0.003,0.001,0.001,0.001,0.003,0.002,0.001,0.003,0.003,0.002,0.003,0.001,0.002,0.005,0.003,0.006,0.004,0.006,0.008,0.007,0.007,0.003,0.004,0.003,0.003,0.001,0.004,0.002,0.002,0.001,0.005,0.005,0.007,0.003,0.004,0.005,0.004,0.005,0.005,0.008,0.005,0.002,-0.002,0.004,0.008,0.005,0.005,0.003,0.003,-0.001,0.005,0.008,0.007,0.007,0.004,0.01,0.008,0.004,0.003,0.004,0.007,0,0.005,0.006,0.006,0.009,0.006,0.008,0.011,0.009,0.006,0,0.007,0.008,0.006,0.006,0.01,0.005,0.008,0.007,0.003,0.014,0.014,0.008,0.005,0.008
3.125,RNA,0.229,0.158,0.096,0.055,0.04,0.03,0.025,0.021,0.018,0.016,0.014,0.013,0.011,0.01,0.009,0.009,0.009,0.008,0.009,0.011,0.01,0.009,0.009,0.009,0.009,0.01,0.008,0.007,0.006,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.007,0.006,0.006,0.006,0.005,0.006,0.006,0.007,0.007,0.004,0.006,0.007,0.006,0.007,0.006,0.007,0.005,0.005,0.008,0.006,0.004,0.006,0.007,0.007,0.005,0.005,0.006,0.007,0.006,0.007,0.006,0.007,0.004,0.004,0.009,0.008,0.006,0.005,0.006,0.003,0.005,0.005,0.003,0.004,0.007,0.008,0.009,0.005,0.006,0.009,0.007,0.004,0.001,0.003,0.002,0.002,0.004,0.005,0.007,0.008,0.007,0.007,0.003,0.004,0.005,0.002,0.005,0.006,0.007,0.007,0.01,0.009,0.006,0.005,0.004,0.007,0.004,0.006,0.007,0.002,0,0.006,0.008,0.005,0.003,0.005,0.005,0.004,0.003,0.008,0.012,0.009,0.005,0,0.004,0.009,0.005,0.007,0.005,0.005,0.002,0.007,0.007,0.007,0.002,0.004,0.01,0.008,0.005,0.004,0.001,0.011,0.004,0.006,0.008,0.011,0.013,0.007,0.009,0.015,0.006,0.004,-0.001,0.01,0.009,0.006,0.008,0.012,0.006,0.012,0.013,0.011,0.015,0.013,0.01,0.007,0.002
1.562,RNA,0.209,0.164,0.095,0.045,0.031,0.022,0.018,0.016,0.012,0.009,0.008,0.007,0.005,0.004,0.002,0.003,0.002,0.001,0.001,0.002,0.002,0,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0.002,0.001,0,0,0.001,0.001,0.002,0.001,0,0.001,0.002,0.001,0,0,0,-0.001,-0.001,0,-0.001,0,0.002,0.003,0.001,0.002,0.001,0.002,0.001,0.002,0.004,0.002,0.001,0.002,0.001,0.002,0.001,0,0,0.001,0.002,0.001,0.001,0.003,0,-0.001,0.004,0.002,-0.002,0,0.003,-0.003,0,0.001,0,0,0.002,0.004,0.004,0.002,0.001,0.003,0.005,0.002,-0.002,0,-0.002,-0.001,-0.001,-0.001,0.003,0.002,0.002,0.002,0,0.003,0.003,-0.001,0.001,-0.001,0.001,0.003,0.006,0.004,0.001,0.002,0.002,0.002,-0.002,0.001,0,-0.001,-0.003,0.004,0.005,0.004,-0.002,0.003,0.003,-0.002,0.001,0.004,0.005,0.003,-0.002,-0.002,0.002,0.006,0.001,0.002,-0.001,0.001,0,0.005,0.006,0.003,0.002,0.004,0.009,0.004,0.002,-0.001,-0.003,0.004,-0.002,0.001,0.004,0.003,0.008,0.005,0.007,0.013,0.005,0.004,-0.004,0.005,0.005,0.006,0.005,0.009,0.002,0.005,0.004,0.004,0.012,0.013,0.008,0.007,0.007
1.562,RNA,0.226,0.153,0.098,0.051,0.035,0.026,0.022,0.018,0.014,0.011,0.009,0.009,0.008,0.006,0.005,0.004,0.005,0.003,0.003,0.005,0.005,0.003,0.003,0.003,0.002,0.003,0.002,0.002,0.003,0.002,0.004,0.003,0.003,0.002,0.003,0.002,0.002,0.003,0.002,0.002,0.002,0.003,0.001,0.002,0.001,0,0,0.001,0.002,0.001,0.002,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.005,0.002,0.002,0.002,0.001,0.002,0.001,0,0.001,0.001,0.001,0.001,0.001,0.003,0,-0.001,0.004,0.003,-0.001,-0.001,0.004,-0.001,0.001,0.002,0.001,-0.001,0.003,0.004,0.005,0.002,0.001,0.003,0.003,0.002,-0.002,-0.001,-0.003,-0.002,-0.003,-0.002,0.004,0.002,0,0.002,-0.001,0.001,0.002,0,0.001,-0.002,0.001,0.003,0.006,0.004,0.001,0.003,0.001,0.002,-0.001,0.002,-0.001,-0.002,-0.002,0.004,0.005,0.005,0,0.003,0.004,-0.002,0.001,0.003,0.005,0.001,-0.002,0,0.004,0.005,0.002,0.003,0.001,0.001,0,0.006,0.006,0.003,0.003,0.003,0.007,0.004,0.001,0,-0.001,0.003,-0.001,0,0.005,0.005,0.01,0.007,0.006,0.011,0.007,0.004,-0.002,0.004,0.005,0.005,0.005,0.005,0.002,0.004,0.003,0.003,0.011,0.011,0.005,0.006,0.003
1.562,RNA,0.209,0.163,0.099,0.051,0.036,0.026,0.021,0.016,0.012,0.01,0.008,0.008,0.006,0.005,0.004,0.004,0.004,0.002,0.002,0.003,0.003,0.001,0.001,0.001,0,0.001,-0.001,0.001,0.001,0.001,0.003,0.002,0.001,0.001,0.003,0.001,0.002,0.002,0.002,0.003,0.003,0.003,0,0.002,0.001,0,-0.001,0,0,0,0.002,0.002,0.001,0.001,0.001,0.002,0.001,0.002,0.004,0.003,0.001,0.002,0.001,0.002,0.002,0.001,0.001,0.002,0.001,0.002,0.001,0.004,0.001,0,0.004,0.003,-0.001,0,0.005,-0.002,0.001,0,0.001,0.001,0.004,0.004,0.004,0.001,0.001,0.004,0.004,0.002,-0.002,0,0,0,-0.001,0.001,0.005,0.003,0.001,0.003,0,0.002,0.003,-0.001,0.001,0.001,0.001,0.002,0.005,0.005,0.003,0.003,0.002,0.001,-0.001,0.001,0.001,0,-0.002,0.005,0.005,0.005,-0.002,0.001,0.004,0,0.001,0.004,0.007,0.004,0,0,0,0.003,0.001,0.003,0.001,0.001,-0.001,0.005,0.006,0.005,0.002,0.004,0.008,0.004,0.002,-0.001,-0.003,0.004,-0.003,0.002,0.005,0.004,0.006,0.005,0.009,0.014,0.007,0.004,-0.003,0.004,0.007,0.01,0.007,0.004,0.002,0.007,0.004,0.006,0.015,0.013,0.006,0.007,0.009
